all_house_data.res_id,all_house_data.res_type,all_house_data.pc_detail_url,all_house_data.m_detail_url,all_house_data.city_name,all_house_data.area_name,all_house_data.business_circle_name,all_house_data.residential_name,all_house_data.property_address,all_house_data.house_type,all_house_data.build_area,all_house_data.orientation,all_house_data.floor,all_house_data.fitment_type,all_house_data.price,all_house_data.apartment_type,all_house_data.rent_type,all_house_data.audit_status,all_house_data.audit_time,all_house_data.wbo_call_count,all_house_data.wbo_mobile_call_count,all_house_data.house_room_features,all_house_data.datestr
10000,APARTMENT,http://www.ishangzu.com/he/10000.html,http://m.ishangzu.com/hz/he/10000.html,杭州市,余杭区,老余杭,西溪北苑,西溪北苑83幢1单元0803室乙,3-2-1-1-1,10.00,南,8|11,精装修,1500.00,品牌公寓,合租,已下架,2017-03-25 14:55:17.0,0,0,,2017-04-14
10001,APARTMENT,http://www.ishangzu.com/he/10001.html,http://m.ishangzu.com/hz/he/10001.html,杭州市,余杭区,老余杭,西溪北苑,西溪北苑83幢1单元0803室丙,3-2-1-1-1,9.20,北,8|11,精装修,1300.00,品牌公寓,合租,已下架,2017-03-29 11:14:35.0,0,0,,2017-04-14
1007,APARTMENT,http://www.ishangzu.com/he/1007.html,http://m.ishangzu.com/hz/he/1007.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑52幢3单元0702甲,4-1-1-2-2,14.00,南,7|11,精装修,1650.00,品牌公寓,合租,已下架,2017-03-27 18:31:12.0,0,0,阳台,2017-04-14
1009,APARTMENT,http://www.ishangzu.com/he/1009.html,http://m.ishangzu.com/hz/he/1009.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑52幢3单元0702乙,4-1-1-2-2,14.00,南,7|11,精装修,1500.00,品牌公寓,合租,已下架,2017-02-25 17:36:32.0,0,0,飘窗,2017-04-14
101,APARTMENT,http://www.ishangzu.com/he/101.html,http://m.ishangzu.com/hz/he/101.html,杭州市,滨江区,浦沿,浙新小区,浙新小区28幢1单元0701室乙,4-2-1-1-1,9.00,北,7|30,精装修,1550.00,品牌公寓,合租,已下架,2017-03-20 19:04:25.0,0,0,飘窗,2017-04-14
1011,APARTMENT,http://www.ishangzu.com/he/1011.html,http://m.ishangzu.com/hz/he/1011.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑52幢3单元0702丙,4-1-1-2-2,11.00,北,7|11,精装修,1400.00,品牌公寓,合租,已下架,2017-02-16 14:23:15.0,0,0,飘窗,2017-04-14
1013,APARTMENT,http://www.ishangzu.com/he/1013.html,http://m.ishangzu.com/hz/he/1013.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑52幢3单元0702丁,4-1-1-2-2,15.00,南,7|11,精装修,1600.00,品牌公寓,合租,已下架,2016-07-27 22:22:25.0,0,0,,2017-04-14
1021,APARTMENT,http://www.ishangzu.com/he/1021.html,http://m.ishangzu.com/hz/he/1021.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑50幢2单元0101甲,4-1-1-2-2,14.00,南,1|12,精装修,1650.00,品牌公寓,合租,已下架,2016-08-24 14:08:14.0,0,0,阳台,2017-04-14
1023,APARTMENT,http://www.ishangzu.com/he/1023.html,http://m.ishangzu.com/hz/he/1023.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑50幢2单元0101乙,4-1-1-2-2,15.00,南,1|12,精装修,1350.00,品牌公寓,合租,已下架,2017-03-23 18:31:02.0,0,0,,2017-04-14
1025,APARTMENT,http://www.ishangzu.com/he/1025.html,http://m.ishangzu.com/hz/he/1025.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑50幢2单元0101丙,4-1-1-2-2,10.00,北,1|12,精装修,1400.00,品牌公寓,合租,已下架,2017-03-16 18:43:38.0,0,0,飘窗,2017-04-14
1026,APARTMENT,http://www.ishangzu.com/he/1026.html,http://m.ishangzu.com/hz/he/1026.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑50幢2单元0101丁,4-1-1-2-2,14.00,南,1|12,精装修,1600.00,品牌公寓,合租,已下架,2016-08-17 11:12:48.0,0,0,飘窗,2017-04-14
1033,APARTMENT,http://www.ishangzu.com/he/1033.html,http://m.ishangzu.com/hz/he/1033.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑9幢2单元0102甲,3-1-1-1-2,15.00,南,1|12,精装修,1650.00,品牌公寓,合租,已下架,2017-04-03 16:47:19.0,0,0,阳台,2017-04-14
1035,APARTMENT,http://www.ishangzu.com/he/1035.html,http://m.ishangzu.com/hz/he/1035.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑9幢2单元0102丙,3-1-1-1-2,8.00,北,1|12,精装修,1350.00,品牌公寓,合租,已下架,2017-04-03 17:00:40.0,0,0,飘窗,2017-04-14
1037,APARTMENT,http://www.ishangzu.com/he/1037.html,http://m.ishangzu.com/hz/he/1037.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑9幢2单元0102乙,3-1-1-1-2,13.00,南,1|12,精装修,1550.00,品牌公寓,合租,已下架,2017-04-03 16:56:05.0,0,0,飘窗,2017-04-14
1044,APARTMENT,http://www.ishangzu.com/he/1044.html,http://m.ishangzu.com/hz/he/1044.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑7幢2单元0701丙,3-1-1-1-2,15.00,南,7|11,精装修,1500.00,品牌公寓,合租,已下架,2017-04-01 10:48:24.0,0,0,飘窗,2017-04-14
1046,APARTMENT,http://www.ishangzu.com/he/1046.html,http://m.ishangzu.com/hz/he/1046.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑7幢2单元0701乙,3-1-1-1-2,12.00,北,7|11,精装修,1350.00,品牌公寓,合租,已下架,2017-03-02 16:33:47.0,0,0,飘窗,2017-04-14
1048,APARTMENT,http://www.ishangzu.com/he/1048.html,http://m.ishangzu.com/hz/he/1048.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑7幢2单元0701甲,3-1-1-1-2,18.00,南,7|11,精装修,1650.00,品牌公寓,合租,已下架,2017-04-16 09:13:33.0,0,0,阳台,2017-04-14
105,APARTMENT,http://www.ishangzu.com/he/105.html,http://m.ishangzu.com/hz/he/105.html,杭州市,滨江区,浦沿,浙新小区,浙新小区28幢1单元0701室丁,4-2-1-1-1,10.00,南,7|30,精装修,1700.00,品牌公寓,合租,申请已发布,2017-03-21 11:01:15.0,0,0,,2017-04-14
105267,HOUSE,http://www.ishangzu.com/zheng/105267.html,http://m.ishangzu.com/hz/zheng/105267.html,杭州市,下城区,西湖文化广场,深蓝广场,深蓝广场西楼3单元0801室,3-2-1-2-1,182.20,南,8|30,精装配置齐全,15000.00,,,已下架,2017-02-28 18:17:24.0,0,0,,2017-04-14
105804,HOUSE,http://www.ishangzu.com/zheng/105804.html,http://m.ishangzu.com/hz/zheng/105804.html,杭州市,下城区,西湖文化广场,青园,青园1幢1单元0302室,2-2-1-1-1,80.00,南,3|22,精装配置齐全,6000.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1059,APARTMENT,http://www.ishangzu.com/he/1059.html,http://m.ishangzu.com/hz/he/1059.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑5幢2单元0301丙,3-1-1-1-2,13.00,南,3|11,精装修,1500.00,品牌公寓,合租,已下架,2017-02-27 20:40:26.0,0,0,飘窗,2017-04-14
10626,APARTMENT,http://www.ishangzu.com/he/10626.html,http://m.ishangzu.com/hz/he/10626.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢2801室甲,4-2-1-2-1,12.00,南,28|28,精装修,1650.00,品牌公寓,合租,已下架,2016-08-19 16:17:21.0,0,0,阳台,2017-04-14
10628,APARTMENT,http://www.ishangzu.com/he/10628.html,http://m.ishangzu.com/hz/he/10628.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢2801室丙,4-2-1-2-1,10.00,东,28|28,精装修,1550.00,品牌公寓,合租,已下架,2016-08-20 21:01:41.0,0,0,飘窗,2017-04-14
10629,APARTMENT,http://www.ishangzu.com/he/10629.html,http://m.ishangzu.com/hz/he/10629.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢2801室丁,4-2-1-2-1,8.00,北,28|28,精装修,1350.00,品牌公寓,合租,已下架,2016-08-19 16:16:29.0,0,0,,2017-04-14
10633,APARTMENT,http://www.ishangzu.com/zheng/10633.html,http://m.ishangzu.com/hz/zheng/10633.html,杭州市,滨江区,区政府,江锦国际,江锦国际单栋1单元1702室,1-1-0-1-1,54.00,南,17|30,精装配置齐全,4200.00,服务公寓,整租,已下架,2016-11-29 18:21:08.0,0,0,,2017-04-14
10634,APARTMENT,http://www.ishangzu.com/zheng/10634.html,http://m.ishangzu.com/hz/zheng/10634.html,杭州市,滨江区,区政府,凯瑞金座,凯瑞金座单栋1单元0504室,2-1-0-1-0,43.96,南,5|33,精装配置齐全,4200.00,服务公寓,整租,已下架,2017-02-24 14:50:33.0,0,0,,2017-04-14
1066,APARTMENT,http://www.ishangzu.com/he/1066.html,http://m.ishangzu.com/hz/he/1066.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑1幢2单元0601甲,3-1-1-1-2,18.00,南,6|8,精装修,1650.00,品牌公寓,合租,已下架,2017-03-08 20:11:38.0,0,0,阳台,2017-04-14
10664,APARTMENT,http://www.ishangzu.com/he/10664.html,http://m.ishangzu.com/hz/he/10664.html,杭州市,滨江区,浦沿,大同公寓,大同公寓4幢0601室甲,4-2-1-2-1,12.30,南,6|28,精装修,1650.00,品牌公寓,合租,已下架,2017-04-23 12:53:40.0,0,0,阳台,2017-04-14
10665,APARTMENT,http://www.ishangzu.com/he/10665.html,http://m.ishangzu.com/hz/he/10665.html,杭州市,滨江区,浦沿,大同公寓,大同公寓4幢0601室乙,4-2-1-2-1,12.50,南,6|28,精装修,1600.00,品牌公寓,合租,已下架,2017-02-16 13:21:19.0,0,0,飘窗,2017-04-14
10677,APARTMENT,http://www.ishangzu.com/he/10677.html,http://m.ishangzu.com/hz/he/10677.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢0304室甲,4-2-1-2-1,12.00,南,3|28,精装修,1650.00,品牌公寓,合租,已下架,2016-09-19 18:58:13.0,0,0,阳台,2017-04-14
10678,APARTMENT,http://www.ishangzu.com/he/10678.html,http://m.ishangzu.com/hz/he/10678.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢0304室乙,4-2-1-2-1,13.00,南,3|28,精装修,1600.00,品牌公寓,合租,已下架,2017-04-12 11:04:56.0,0,0,飘窗,2017-04-14
10686,APARTMENT,http://www.ishangzu.com/he/10686.html,http://m.ishangzu.com/hz/he/10686.html,杭州市,江干区,下沙江滨,世茂江滨花园,世茂江滨花园2幢1单元2202室甲,4-1-1-2-2,20.00,南,22|34,精装修,1650.00,品牌公寓,合租,已下架,2017-03-07 09:59:03.0,0,0,"阳台,卫生间",2017-04-14
